Size, Execution Time, GFLOPs
2000, 0.013262, 1206.421510
2000, 0.013299, 1203.094178
2000, 0.013279, 1204.867091
2000, 0.013311, 1201.998473
2000, 0.013596, 1176.843977
2500, 0.024013, 1301.373109
2500, 0.024674, 1266.502682
2500, 0.023866, 1309.407504
2500, 0.023831, 1311.340908
2500, 0.024153, 1293.837170
3000, 0.037243, 1449.948269
3000, 0.037398, 1443.931923
3000, 0.037430, 1442.702393
3000, 0.037999, 1421.075593
3000, 0.038547, 1400.896242
3500, 0.058083, 1476.346798
3500, 0.058196, 1473.466460
3500, 0.058285, 1471.209317
3500, 0.058279, 1471.378328
3500, 0.058644, 1462.222846
4000, 0.082340, 1554.523579
4000, 0.082318, 1554.944417
4000, 0.082182, 1557.519190
4000, 0.082291, 1555.455979
4000, 0.082129, 1558.517789
4500, 0.117561, 1550.260676
4500, 0.117676, 1548.740613
4500, 0.118387, 1539.446940
4500, 0.118019, 1544.244250
4500, 0.118258, 1541.122840
5000, 0.162362, 1539.771576
5000, 0.162590, 1537.613750
5000, 0.162891, 1534.770797
5000, 0.164371, 1520.950540
5000, 0.162510, 1538.371442
5500, 0.214524, 1551.110670
5500, 0.212945, 1562.607187
5500, 0.212880, 1563.085621
5500, 0.212787, 1563.771078
5500, 0.213348, 1559.661710
6000, 0.276220, 1563.973268
6000, 0.275979, 1565.335325
6000, 0.276179, 1564.200882
6000, 0.276502, 1562.373978
6000, 0.276305, 1563.488553
6500, 0.343487, 1599.041729
6500, 0.343277, 1600.021058
6500, 0.343202, 1600.369872
6500, 0.343951, 1596.885108
6500, 0.343232, 1600.231457
7000, 0.428381, 1601.379453
7000, 0.428837, 1599.676211
7000, 0.428791, 1599.846321
7000, 0.428627, 1600.458293
7000, 0.429086, 1598.746381
7500, 0.532282, 1585.157177
7500, 0.525358, 1606.048945
7500, 0.526342, 1603.045592
7500, 0.530802, 1589.576553
7500, 0.525217, 1606.478503
8000, 0.631504, 1621.524907
8000, 0.627665, 1631.442431
8000, 0.627703, 1631.345771
8000, 0.629295, 1627.217925
8000, 0.629035, 1627.889825
8500, 0.759581, 1617.009664
8500, 0.759854, 1616.429354
8500, 0.757572, 1621.298384
8500, 0.766108, 1603.233845
8500, 0.757251, 1621.984445
9000, 0.888968, 1640.104553
9000, 0.900075, 1619.865596
9000, 0.889367, 1639.367851
9000, 0.889014, 1640.019745
9000, 0.888297, 1641.342622
9500, 1.066266, 1608.182039
9500, 1.065988, 1608.601560
9500, 1.065281, 1609.668619
9500, 1.067664, 1606.075982
9500, 1.070579, 1601.703551
10000, 1.267182, 1578.305208
10000, 1.260238, 1587.001382
10000, 1.255677, 1592.765676
10000, 1.273658, 1570.280098
10000, 1.259469, 1587.970848
10500, 1.434196, 1614.319130
10500, 1.434928, 1613.495998
10500, 1.449291, 1597.505007
10500, 1.443470, 1603.947217
10500, 1.441665, 1605.955607
11000, 1.650784, 1612.566901
11000, 1.649241, 1614.076211
11000, 1.654887, 1608.569444
11000, 1.651064, 1612.293769
11000, 1.653363, 1610.051631
11500, 1.853797, 1640.821263
11500, 1.852340, 1642.112261
11500, 1.853815, 1640.805538
11500, 1.854959, 1639.794043
11500, 1.856859, 1638.115576
12000, 2.128188, 1623.916578
12000, 2.129343, 1623.035743
12000, 2.130337, 1622.278617
12000, 2.131198, 1621.623117
12000, 2.127922, 1624.119744
12500, 2.415738, 1617.000628
12500, 2.428709, 1608.364525
12500, 2.419164, 1614.710917
12500, 2.416056, 1616.788102
12500, 2.416436, 1616.533291
13000, 2.694377, 1630.803632
13000, 2.701405, 1626.560855
13000, 2.690713, 1633.024274
13000, 2.694014, 1631.023250
13000, 2.693665, 1631.234683
13500, 3.050182, 1613.264186
13500, 3.048343, 1614.237552
13500, 3.052791, 1611.885574
13500, 3.053005, 1611.772482
13500, 3.046598, 1615.161978
14000, 3.377340, 1624.947680
14000, 3.383801, 1621.844544
14000, 3.376121, 1625.534075
14000, 3.410797, 1609.008027
14000, 3.376800, 1625.207444
14500, 3.733462, 1633.135867
14500, 3.745567, 1627.857553
14500, 3.733507, 1633.116135
14500, 3.738410, 1630.974069
14500, 3.745817, 1627.748857
15000, 4.166523, 1620.055930
15000, 4.162957, 1621.443606
15000, 4.153499, 1625.135964
15000, 4.170297, 1618.589644
15000, 4.161254, 1622.107087
15500, 4.518900, 1648.133295
15500, 4.553338, 1635.668284
15500, 4.545589, 1638.456587
15500, 4.591089, 1622.218709
15500, 4.545566, 1638.464730
16000, 5.050844, 1621.907206
16000, 5.050738, 1621.941220
16000, 5.050348, 1622.066381
16000, 5.054461, 1620.746650
16000, 5.053183, 1621.156483
16500, 5.542947, 1620.843446
16500, 5.542882, 1620.862548
16500, 5.532884, 1623.791497
16500, 5.538757, 1622.069574
16500, 5.571831, 1612.441212
17000, 6.062570, 1620.764890
17000, 6.064328, 1620.295028
17000, 6.057829, 1622.033218
17000, 6.039651, 1626.915289
17000, 6.134928, 1601.648687
17500, 6.653550, 1610.982122
17500, 6.632845, 1616.011015
17500, 6.652335, 1611.276320
17500, 6.630973, 1616.467118
17500, 6.625192, 1617.877724
18000, 7.190998, 1622.028059
18000, 7.185433, 1623.284326
18000, 7.180531, 1624.392478
18000, 7.170825, 1626.591173
18000, 7.167523, 1627.340473
18500, 7.799198, 1623.660608
18500, 7.794063, 1624.730329
18500, 7.870223, 1609.007771
18500, 7.785460, 1626.525661
18500, 7.806192, 1622.205876
19000, 8.386465, 1635.730878
19000, 8.376185, 1637.738512
19000, 8.371503, 1638.654469
19000, 8.381526, 1636.694788
19000, 8.385460, 1635.926957
19500, 9.101622, 1629.352462
19500, 9.094502, 1630.628024
19500, 9.091611, 1631.146518
19500, 9.091370, 1631.189800
19500, 9.161475, 1618.707662
20000, 9.866923, 1621.579502
20000, 9.861093, 1622.538109
20000, 9.854148, 1623.681734
20000, 9.870082, 1621.060527
20000, 9.844529, 1625.268225
