Size, Execution Time, GFLOPs
2000, 0.025024, 639.374078
2000, 0.024148, 662.591371
2000, 0.024109, 663.665103
2000, 0.023297, 686.774214
2000, 0.023181, 690.218861
2500, 0.044595, 700.751205
2500, 0.044511, 702.072809
2500, 0.044436, 703.262069
2500, 0.044226, 706.604208
2500, 0.044443, 703.147267
3000, 0.073206, 737.645977
3000, 0.073246, 737.238836
3000, 0.073306, 736.642251
3000, 0.073270, 737.001364
3000, 0.072968, 740.048618
3500, 0.113047, 758.532337
3500, 0.112953, 759.166782
3500, 0.114044, 751.900229
3500, 0.113129, 757.981307
3500, 0.113056, 758.475441
4000, 0.162800, 786.241559
4000, 0.163010, 785.228599
4000, 0.162619, 787.118162
4000, 0.162103, 789.619874
4000, 0.162347, 788.436694
4500, 0.230476, 790.756282
4500, 0.232617, 783.475237
4500, 0.230822, 789.570369
4500, 0.230464, 790.794793
4500, 0.232968, 782.296315
5000, 0.325102, 768.989742
5000, 0.324374, 770.714330
5000, 0.324756, 769.808654
5000, 0.324370, 770.723792
5000, 0.324010, 771.581872
5500, 0.421411, 789.609979
5500, 0.421197, 790.009475
5500, 0.421595, 789.265488
5500, 0.421386, 789.656340
5500, 0.421044, 790.296682
6000, 0.538771, 801.824873
6000, 0.539392, 800.901299
6000, 0.538337, 802.471884
6000, 0.539713, 800.424818
6000, 0.539739, 800.387193
6500, 0.682817, 804.387804
6500, 0.680009, 807.710375
6500, 0.680021, 807.695920
6500, 0.679429, 808.399064
6500, 0.679295, 808.558366
7000, 0.866871, 791.351502
7000, 0.866124, 792.034648
7000, 0.866422, 791.762087
7000, 0.865691, 792.430870
7000, 0.864844, 793.206725
7500, 1.064773, 792.422561
7500, 1.063042, 793.712868
7500, 1.071221, 787.652331
7500, 1.065167, 792.129601
7500, 1.062574, 794.062391
8000, 1.279107, 800.558353
8000, 1.279265, 800.459586
8000, 1.278736, 800.790853
8000, 1.276234, 802.360829
8000, 1.332359, 768.561485
8500, 1.533706, 800.837860
8500, 1.533050, 801.180632
8500, 1.533744, 800.818319
8500, 1.533890, 800.741772
8500, 1.534892, 800.218958
9000, 1.796302, 811.667408
9000, 1.794823, 812.336166
9000, 1.807052, 806.839158
9000, 1.794202, 812.617626
9000, 1.796498, 811.578905
9500, 2.138821, 801.726927
9500, 2.139856, 801.338990
9500, 2.139588, 801.439397
9500, 2.139277, 801.555785
9500, 2.138159, 801.975051
10000, 2.473427, 808.594690
10000, 2.477163, 807.375192
10000, 2.485537, 804.655051
10000, 2.477280, 807.337086
10000, 2.477971, 807.111902
10500, 2.873679, 805.674599
10500, 2.875133, 805.267136
10500, 2.875729, 805.100079
10500, 2.871936, 806.163378
10500, 2.874508, 805.442271
11000, 3.319944, 801.820769
11000, 3.312916, 803.521821
11000, 3.312404, 803.646024
11000, 3.310419, 804.127820
11000, 3.319296, 801.977293
11500, 3.759518, 809.079730
11500, 3.757615, 809.489530
11500, 3.756392, 809.753177
11500, 3.756417, 809.747695
11500, 3.750370, 811.053290
12000, 4.328271, 798.471308
12000, 4.309683, 801.915195
12000, 4.327094, 798.688515
12000, 4.320802, 799.851446
12000, 4.330338, 798.090121
12500, 4.903763, 796.582108
12500, 4.895080, 797.995111
12500, 4.891295, 798.612709
12500, 4.915711, 794.645996
12500, 4.909946, 795.578992
13000, 5.472299, 802.953133
13000, 5.463235, 804.285385
13000, 5.460936, 804.623996
13000, 5.460721, 804.655668
13000, 5.468176, 803.558649
13500, 6.079633, 809.382799
13500, 6.126723, 803.161852
13500, 6.160967, 798.697720
13500, 6.121430, 803.856291
13500, 6.128329, 802.951326
14000, 6.872658, 798.526558
14000, 6.895181, 795.918148
14000, 6.856172, 800.446644
14000, 6.862926, 799.658885
14000, 6.859515, 800.056566
14500, 7.661152, 795.865950
14500, 7.649315, 797.097527
14500, 7.638130, 798.264763
14500, 7.647287, 797.308894
14500, 7.654621, 796.544958
15000, 8.465934, 797.313134
15000, 8.442123, 799.561883
15000, 8.470715, 796.863055
15000, 8.437075, 800.040342
15000, 8.443093, 799.470048
15500, 9.265947, 803.776494
15500, 9.268049, 803.594148
15500, 9.260142, 804.280330
15500, 9.258546, 804.418935
15500, 9.261958, 804.122656
16000, 10.219139, 801.633125
16000, 10.215979, 801.881073
16000, 10.218405, 801.690638
16000, 10.220225, 801.547941
16000, 10.214910, 801.964951
16500, 11.316736, 793.890569
16500, 11.287920, 795.917203
16500, 11.281352, 796.380600
16500, 11.282792, 796.278974
16500, 11.297342, 795.253404
17000, 12.271914, 800.690069
17000, 12.277332, 800.336733
17000, 12.309970, 798.214774
17000, 12.258748, 801.550053
17000, 12.286978, 799.708417
17500, 13.375497, 801.372107
17500, 13.378166, 801.212206
17500, 13.421690, 798.614061
17500, 13.417930, 798.837807
17500, 13.369293, 801.743957
18000, 14.512753, 803.706912
18000, 14.501354, 804.338664
18000, 14.538226, 802.298719
18000, 14.483988, 805.303061
18000, 14.492791, 804.813908
18500, 15.986757, 792.108739
18500, 16.001879, 791.360193
18500, 15.982305, 792.329379
18500, 15.998992, 791.502980
18500, 15.983167, 792.286649
19000, 17.115780, 801.482586
19000, 17.378137, 789.382674
19000, 17.137524, 800.465673
19000, 17.171534, 798.880263
19000, 17.132971, 800.678429
19500, 18.514874, 800.964119
19500, 18.491867, 801.960653
19500, 18.491671, 801.969161
19500, 18.485745, 802.226264
19500, 18.461164, 803.294437
20000, 20.021843, 799.127236
20000, 19.999285, 800.028600
20000, 20.003294, 799.868261
20000, 20.055455, 797.787942
20000, 20.007169, 799.713347
